topic_id Q0 docno rank score tag 
0 Q0 30198105513140224 1 0.7874929958527086 FirstRun
0 Q0 30260724248870912 2 0.7822394749191537 FirstRun
0 Q0 30162553262841857 3 0.7617690364710351 FirstRun
0 Q0 29978962599870465 4 0.7617690364710351 FirstRun
0 Q0 32096654177861634 5 0.7209868041072813 FirstRun
0 Q0 30496268895657984 6 0.7209868041072813 FirstRun
0 Q0 30319208176820224 7 0.681608450255213 FirstRun
0 Q0 30236884051435520 8 0.6673216031321848 FirstRun
0 Q0 30197610459435008 9 0.6665836821078047 FirstRun
0 Q0 29983478363717633 10 0.6652929968757295 FirstRun
0 Q0 29993695927336960 11 0.6436742347572645 FirstRun
0 Q0 29990282447552512 12 0.6189766176267852 FirstRun
0 Q0 30303184207478784 13 0.600541373265857 FirstRun
0 Q0 32504175552102401 14 0.5815789912575917 FirstRun
0 Q0 32158658863304705 15 0.5815789912575917 FirstRun
0 Q0 30275282464153600 16 0.5735155027033025 FirstRun
0 Q0 30219793458008064 17 0.5718377660779544 FirstRun
0 Q0 30587022246678528 18 0.5574306551504226 FirstRun
0 Q0 30581416408391680 19 0.5522415804231242 FirstRun
0 Q0 34845080003022848 20 0.5469645735456473 FirstRun
0 Q0 32202010056986625 21 0.5469645735456473 FirstRun
0 Q0 29997693933719553 22 0.5409597888292842 FirstRun
0 Q0 33823403328671744 23 0.5295977688633935 FirstRun
0 Q0 32229379287289857 24 0.5227570590987347 FirstRun
0 Q0 30236041789050880 25 0.5211391871055528 FirstRun
0 Q0 30022487840391168 26 0.5140427231221724 FirstRun
0 Q0 30216589932503040 27 0.5106207390799788 FirstRun
0 Q0 30051954050727936 28 0.5091684098287219 FirstRun
0 Q0 30025535761420289 29 0.5011263027324241 FirstRun
0 Q0 30003337843707905 30 0.4938803560071732 FirstRun
0 Q0 30149086560657409 31 0.4907223583543437 FirstRun
0 Q0 30157835434201089 32 0.48596487736489097 FirstRun
0 Q0 29990983902961664 33 0.484844573653858 FirstRun
0 Q0 30217175910318080 34 0.48194569834702505 FirstRun
0 Q0 29564786882646016 35 0.48004280010103795 FirstRun
0 Q0 30316304493707264 36 0.47499532682912293 FirstRun
0 Q0 29552940691759104 37 0.47313055504786433 FirstRun
0 Q0 30244402504929280 38 0.4693656936178549 FirstRun
0 Q0 30371820393734144 39 0.4498977540026251 FirstRun
0 Q0 30360018473713664 40 0.4446481785048617 FirstRun
0 Q0 29059262076420096 41 0.4415846492661704 FirstRun
0 Q0 30317913206431744 42 0.44061126802448825 FirstRun
0 Q0 30167063326629888 43 0.43731184043202725 FirstRun
